iter	Passed	Remaining
0	1	1555
1	2	1370
2	3	1207
3	4	1086
4	5	1022
5	5	980
6	6	947
7	7	951
8	8	961
9	9	953
10	10	937
11	11	920
12	11	905
13	12	892
14	13	897
15	14	904
16	15	907
17	16	914
18	18	952
19	21	1037
20	22	1034
21	23	1025
22	24	1022
23	24	1015
24	25	1011
25	27	1011
26	28	1011
27	28	999
28	29	994
29	30	988
30	31	984
31	32	989
32	33	992
33	34	987
34	35	980
35	36	976
36	37	971
37	38	981
38	39	981
39	40	975
40	41	968
41	42	961
42	42	956
43	43	951
44	44	950
45	45	950
46	46	947
47	47	941
48	48	935
49	48	929
50	49	923
51	50	919
52	51	921
53	53	933
54	54	930
55	54	926
56	55	922
57	56	917
58	57	915
59	58	915
60	59	912
61	60	908
62	60	904
63	61	899
64	62	894
65	63	891
66	64	901
67	65	900
68	66	895
69	67	893
70	68	890
71	68	886
72	72	920
73	73	920
74	74	918
75	75	916
76	79	954
77	80	952
78	81	954
79	84	968
80	85	970
81	86	966
82	86	958
83	87	954
84	88	950
85	91	967
86	91	964
87	92	960
88	93	955
89	94	952
90	95	948
91	98	967
92	98	965
93	99	961
94	100	958
95	101	955
96	102	956
97	103	955
98	104	953
99	105	949
100	106	946
101	107	943
102	109	950
103	110	951
104	111	948
105	112	945
106	112	941
107	113	937
108	114	933
109	116	944
110	117	943
111	118	939
112	119	935
113	119	932
114	121	931
115	122	933
116	123	929
117	124	927
118	124	924
119	125	921
120	126	917
121	127	921
122	129	921
123	130	919
124	130	915
125	131	912
126	132	908
127	133	906
128	134	909
129	135	907
130	136	904
131	137	901
132	137	898
133	138	896
134	139	894
135	141	897
136	142	895
137	142	892
138	143	889
139	144	886
140	144	883
141	145	879
142	146	879
143	148	879
144	148	877
145	149	875
146	150	872
147	151	870
148	155	886
149	156	884
150	156	882
151	157	879
152	160	886
153	161	886
154	162	884
155	163	882
156	163	879
157	164	876
158	166	881
159	167	880
160	168	876
161	168	873
162	169	871
163	170	868
164	171	868
165	172	868
166	173	867
167	174	865
168	175	863
169	176	861
170	177	859
171	179	864
172	180	862
173	181	861
174	182	859
175	183	857
176	185	864
177	186	862
178	187	860
179	188	858
180	189	856
181	189	853
182	192	857
183	193	856
184	194	856
185	195	854
186	196	852
187	198	856
188	199	855
189	200	853
190	201	851
191	201	849
192	202	846
193	205	853
194	206	853
195	207	851
196	208	849
197	209	847
198	210	847
199	211	846
200	212	844
201	213	842
202	213	839
203	214	837
204	217	842
205	218	841
206	219	839
207	219	837
208	220	835
209	223	841
210	224	840
211	225	839
212	226	837
213	227	835
214	228	834
215	229	833
216	231	833
217	232	832
218	232	830
219	233	828
220	234	827
221	235	827
222	237	827
223	238	826
224	239	824
225	240	822
226	241	823
227	242	822
228	243	820
229	244	818
230	245	817
231	246	815
232	249	819
233	250	818
234	251	817
235	252	816
236	253	815
237	254	815
238	256	815
239	256	813
240	257	812
241	258	810
242	260	811
243	261	811
244	262	809
245	263	807
246	264	805
247	265	803
248	267	807
249	268	806
250	270	806
251	271	804
252	273	807
253	274	807
254	275	805
255	276	803
256	277	801
257	278	799
258	281	805
259	283	805
260	283	803
261	284	802
262	287	804
263	288	803
264	288	801
265	289	799
266	290	797
267	293	800
268	294	799
269	295	797
270	295	795
271	296	793
272	299	796
273	300	796
274	301	795
275	302	794
276	304	794
277	305	793
278	306	792
279	308	792
280	309	790
281	312	795
282	314	795
283	315	794
284	316	794
285	318	795
286	320	795
287	321	795
288	323	795
289	324	795
290	326	794
291	327	793
292	328	792
293	329	792
294	331	792
295	333	792
296	334	791
297	335	789
298	337	790
299	338	790
300	339	789
301	340	788
302	343	790
303	345	790
304	346	789
305	347	787
306	348	787
307	351	788
308	352	788
309	353	787
310	356	789
311	357	788
312	358	787
313	359	785
314	360	783
315	361	782
316	362	781
317	363	779
318	364	778
319	365	776
320	366	775
321	368	776
322	370	777
323	371	775
324	372	774
325	373	773
326	377	777
327	379	777
328	380	776
329	383	778
330	384	777
331	385	775
332	386	774
333	388	775
334	391	777
335	393	778
336	395	777
337	396	776
338	397	775
339	400	777
340	401	775
341	402	773
342	402	771
343	404	771
344	407	773
345	408	771
346	409	769
347	410	768
348	411	767
349	412	766
350	414	765
351	415	764
352	416	763
353	417	762
354	419	763
355	420	761
356	422	760
357	423	759
358	425	759
359	426	758
360	427	756
361	428	755
362	431	757
363	433	757
364	434	755
365	435	754
366	438	756
367	440	755
368	442	756
369	443	755
370	445	755
371	447	754
372	451	758
373	451	756
374	452	754
375	453	752
376	454	751
377	456	750
378	457	750
379	458	748
380	459	747
381	461	746
382	463	746
383	464	744
384	464	742
385	466	742
386	468	741
387	469	740
388	470	738
389	471	737
390	472	736
391	473	734
392	476	735
393	477	734
394	478	733
395	480	732
396	482	732
397	484	733
398	486	732
399	488	732
400	489	731
401	491	731
402	494	733
403	495	731
404	496	729
405	497	727
406	500	728
407	502	728
408	503	726
409	504	726
410	508	728
411	509	727
412	511	726
413	513	726
414	514	725
415	519	728
416	520	727
417	523	728
418	526	729
419	527	728
420	528	727
421	530	726
422	532	725
423	533	724
424	535	724
425	537	723
426	539	723
427	542	724
428	546	727
429	547	725
430	549	725
431	550	723
432	551	721
433	552	720
434	553	719
435	556	719
436	557	718
437	562	721
438	565	722
439	567	721
440	569	721
441	570	719
442	570	717
443	575	720
444	576	719
445	578	719
446	580	718
447	581	716
448	583	716
449	585	715
450	587	715
451	588	713
452	589	712
453	593	713
454	594	712
455	595	710
456	597	709
457	598	708
458	600	707
459	601	705
460	602	704
461	605	705
462	606	703
463	608	702
464	609	700
465	611	700
466	613	700
467	614	698
468	617	699
469	619	698
470	622	699
471	624	698
472	625	697
473	627	696
474	628	695
475	630	694
476	631	692
477	632	690
478	633	689
479	634	687
480	636	687
481	638	686
482	639	684
483	640	682
484	641	681
485	643	680
486	645	679
487	645	677
488	647	676
489	648	674
490	650	674
491	651	672
492	652	671
493	654	670
494	655	668
495	656	667
496	658	666
497	659	665
498	661	663
499	662	662
500	663	660
501	664	659
502	665	657
503	667	656
504	668	655
505	669	653
506	670	652
507	671	650
508	674	650
509	675	649
510	676	647
511	678	646
512	680	645
513	681	644
514	682	642
515	683	640
516	686	640
517	687	640
518	689	639
519	691	638
520	693	637
521	694	635
522	695	634
523	696	632
524	700	633
525	701	631
526	702	630
527	703	628
528	705	627
529	707	627
530	707	625
531	709	624
532	710	622
533	711	621
534	713	619
535	714	618
536	715	616
537	715	614
538	717	613
539	718	612
540	719	610
541	720	609
542	723	608
543	724	607
544	725	605
545	726	604
546	727	602
547	728	600
548	730	600
549	731	598
550	732	597
551	734	595
552	735	594
553	737	593
554	738	592
555	739	590
556	741	589
557	742	588
558	743	586
559	744	584
560	745	583
561	747	582
562	748	580
563	749	579
564	750	577
565	751	575
566	753	575
567	754	574
568	756	572
569	756	571
570	757	569
571	758	567
572	759	566
573	761	565
574	762	563
575	763	561
576	764	560
577	766	559
578	767	558
579	769	557
580	770	555
581	771	554
582	773	553
583	774	551
584	775	550
585	776	548
586	777	546
587	778	545
588	779	543
589	780	542
590	781	540
591	782	539
592	783	537
593	785	536
594	786	535
595	787	533
596	788	532
597	789	530
598	792	530
599	793	528
600	794	527
601	794	525
602	796	524
603	798	523
604	799	521
605	800	520
606	800	518
607	801	517
608	804	516
609	805	514
610	806	513
611	807	511
612	808	510
613	811	510
614	812	508
615	813	507
616	814	505
617	815	504
618	817	503
619	818	501
620	819	500
621	820	498
622	821	497
623	822	495
624	824	494
625	825	493
626	826	491
627	827	490
628	828	488
629	829	487
630	830	485
631	831	484
632	832	482
633	833	481
